formation_name,current_ma,pwm_percent,measured_mlux,source_file
formation_3_midlow_light,4,10,1.613,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,15,2.847,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,20,3.894,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,25,5.147,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,30,6.419,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,35,9.464,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,40,13.699,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,45,17.973,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,50,22.292,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,55,26.72,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,60,31.151,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,65,35.915,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,70,42.083,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,75,48.293,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,80,54.452,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,85,60.655,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,90,66.849,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,95,73.039,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,4,100,79.455,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,5,10,1.807,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,5,15,3.037,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,5,20,4.386,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,5,25,5.785,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,5,30,7.196,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,5,35,10.775,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,5,40,15.797,formation_3_midlow_light_calibration.csv
formation_3_midlow_light,5,45,20.86,formation_3_midlow_light_calibration.csv
