target_mlux,formation_name,current_ma,pwm_percent,estimated_mlux,error_mlux,lower_measured_mlux,lower_pwm_percent,upper_measured_mlux,upper_pwm_percent,method
0,headlight_formation_lowest,0,0,0,0,0,0,0,0,interpolated
1,headlight_formation_lowest,5,11,0.999,0.001,0.885,10,1.454,15,interpolated
2,headlight_formation_lowest,48,10,1.999,0.001,1.999,10,3.219,15,interpolated
3,headlight_formation_lowest,16,15,3.0,0.0,2.065,10,3.0,15,interpolated
4,headlight_formation_lowest,48,18,4.0,0.0,3.219,15,4.52,20,interpolated
5,headlight_formation_lowest,15,25,5.001,0.001,3.604,20,5.001,25,interpolated
6,formation_3_midlow_light,37,14,6.0,0.0,4.028,10,6.493,15,interpolated
7,headlight_formation_lowest,14,32,7.002,0.002,5.759,30,8.867,35,interpolated
8,headlight_formation_lowest,43,31,8.005,0.005,7.084,30,11.687,35,interpolated
9,formation_4_mid_light,23,13,9.0,0.0,6.567,10,10.622,15,interpolated
10,headlight_formation_lowest,30,33,10.002,0.002,7.479,30,11.684,35,interpolated
11,headlight_formation_lowest,48,34,11.001,0.001,7.215,30,11.947,35,interpolated
12,formation_5_midhigh_light,17,12,11.999,0.001,9.588,10,15.615,15,interpolated
13,formation_4_mid_light,38,16,13.001,0.001,12.017,15,16.935,20,interpolated
14,formation_4_mid_light,7,27,13.998,0.002,12.774,25,15.833,30,interpolated
15,formation_3_midlow_light,44,30,14.996,0.004,14.996,30,24.907,35,interpolated
16,headlight_formation_lowest,9,48,16.001,0.001,13.901,45,17.401,50,interpolated
17,formation_4_mid_light,28,21,17.0,0.0,16.046,20,20.814,25,interpolated
18,headlight_formation_lowest,7,54,18.002,0.002,14.852,50,34.54,75,interpolated
19,headlight_formation_lowest,5,64,18.998,0.002,16.878,60,19.528,65,interpolated
20,headlight_formation_lowest,4,71,20.002,0.002,19.439,70,22.254,75,interpolated
21,formation_6_high_light,38,10,20.993,0.007,20.993,10,33.845,15,interpolated
22,formation_4_mid_light,50,24,22.002,0.002,17.829,20,23.045,25,interpolated
23,headlight_formation_lowest,23,46,23.003,0.003,21.881,45,27.49,50,interpolated
24,formation_4_mid_light,23,30,24.007,0.007,19.509,25,24.007,30,interpolated
25,formation_3_midlow_light,45,35,25.003,0.003,15.056,30,25.003,35,interpolated
26,formation_6_high_light,4,23,26.0,0.0,17.169,15,28.208,25,interpolated
27,formation_6_high_light,46,12,27.0,0.0,21.718,10,34.924,15,interpolated
28,formation_3_midlow_light,6,49,28.001,0.001,23.348,45,29.164,50,interpolated
29,formation_3_midlow_light,8,46,29.003,0.003,27.597,45,34.626,50,interpolated
30,formation_3_midlow_light,39,37,30.002,0.002,24.332,35,38.506,40,interpolated
31,formation_7_higher_light,45,10,30.998,0.002,30.998,10,49.784,15,interpolated
32,formation_6_high_light,23,16,32.003,0.003,29.554,15,41.8,20,interpolated
33,formation_5_midhigh_light,35,24,33.003,0.003,26.649,20,34.591,25,interpolated
34,formation_3_midlow_light,46,38,34.0,0.0,25.116,35,39.922,40,interpolated
35,headlight_formation_lowest,50,51,34.998,0.002,33.549,50,40.796,55,interpolated
36,formation_5_midhigh_light,46,25,36.0,0.0,27.788,20,36.0,25,interpolated
37,headlight_formation_lowest,46,53,37.001,0.001,32.749,50,39.835,55,interpolated
38,formation_7_higher_light,41,12,37.998,0.002,30.569,10,49.142,15,interpolated
39,formation_6_high_light,11,23,39.005,0.005,32.94,20,43.048,25,interpolated
40,headlight_formation_lowest,29,58,40.0,0.0,36.243,55,42.504,60,interpolated
41,formation_7_higher_light,21,15,41.0,0.0,25.252,10,41.0,15,interpolated
42,formation_3_midlow_light,19,45,42.008,0.008,30.97,40,42.008,45,interpolated
43,formation_6_high_light,43,18,43.005,0.005,34.543,15,48.646,20,interpolated
44,formation_3_midlow_light,13,49,44.002,0.002,36.374,45,45.909,50,interpolated
45,formation_3_midlow_light,42,42,45.002,0.002,39.173,40,53.746,45,interpolated
46,headlight_formation_lowest,42,60,45.995,0.005,45.995,60,54.314,65,interpolated
47,formation_7_higher_light,32,15,46.998,0.002,46.998,15,66.199,20,interpolated
48,formation_4_mid_light,17,38,48.008,0.008,35.965,35,56.036,40,interpolated
49,formation_4_mid_light,6,47,48.998,0.002,44.534,45,55.695,50,interpolated
50,formation_3_midlow_light,50,43,49.996,0.004,40.833,40,56.105,45,interpolated
51,headlight_formation_lowest,33,65,51.004,0.004,43.21,60,51.004,65,interpolated
52,formation_3_midlow_light,4,78,51.988,0.012,48.293,75,54.452,80,interpolated
53,formation_5_midhigh_light,13,35,52.99,0.01,52.99,35,82.132,40,interpolated
54,headlight_formation_lowest,27,67,54.001,0.001,49.132,65,61.304,70,interpolated
55,headlight_formation_lowest,12,79,54.999,0.001,48.933,75,56.516,80,interpolated
56,formation_6_high_light,37,23,56.001,0.001,47.559,20,61.629,25,interpolated
57,formation_3_midlow_light,23,50,57.007,0.007,44.988,45,57.007,50,interpolated
58,formation_5_midhigh_light,9,38,58.001,0.001,44.196,35,67.205,40,interpolated
59,formation_6_high_light,38,24,59.0,0.0,47.733,20,61.817,25,interpolated
